Title,IMDB Score
Larry the Cable Guy: Health Inspector ,3.1
Littleman ,4.3
Phat Girlz ,3.0
Pulse ,4.7
The Marine ,4.7
The Naked Ape ,4.7
The Pet ,3.9
The Shaggy Dog ,4.4
The Tooth Fairy ,4.6
Ultraviolet ,4.4
Zoom ,4.2
Aliens vs. Predator: Requiem ,4.7
And Then Came Love ,4.8
Blonde Ambition ,3.9
Code Name: The Cleaner ,4.5
Daddy Day Camp ,2.9
Dragon Wars: D-War ,3.6
Epic Movie ,2.3
High School Musical 2 ,4.8
How She Move ,3.3
In the Name of the King: A Dungeon Siege Tale ,3.8
Rockaway ,4.6
The Legend of God's Gun ,4.1
Virgin Territory ,4.8
Who's Your Caddy? ,2.0
An American Carol ,4.3
Beverly Hills Chihuahua ,3.7
College ,4.6
Delgo ,4.4
Disaster Movie ,1.9
Extreme Movie ,3.8
Free Style ,4.2
High School Musical 3: Senior Year ,4.5
Impact Point ,4.3
Meet Dave ,4.9
Meet the Spartans ,2.7
No Man's Land: The Rise of Reeker ,4.9
One Missed Call ,3.9
Prom Night ,3.9
Space Chimps ,4.5
Sunday School Musical ,2.5
Superhero Movie ,4.5
"Surfer, Dude ",4.7
The Haunting of Molly Hartley ,3.8
The Love Guru ,3.8
The Spirit ,4.8
The Women ,4.9
Train ,4.8
Witless Protection ,3.1
2:13 ,4.8
All About Steve ,4.8
Alvin and the Chipmunks: The Squeakquel ,4.5
B-Girl ,4.0
Bled ,3.1
Chain Letter ,4.1
Dance Flick ,3.5
Did You Hear About the Morgans? ,4.7
Dragonball: Evolution ,2.7
Flying By ,4.5
Frat Party ,2.8
Halloween II ,4.9
Halloween II ,4.9
Hannah Montana: The Movie ,4.2
I Can Do Bad All by Myself ,4.1
Madea Goes to Jail ,4.1
Motherhood ,4.7
Royal Kill ,3.2
Shorts ,4.9
Stan Helsing ,3.6
Steppin: The Movie ,3.4
Street Fighter: The Legend of Chun-Li ,3.7
The Devil's Tomb ,3.8
The True Story of Puss'N Boots ,2.9
The Twilight Saga: New Moon ,4.6
The Unborn ,4.8
The Unborn ,4.8
Year One ,4.9
Animals United ,4.9
Cats & Dogs: The Revenge of Kitty Galore ,4.3
Death Calls ,4.3
Furry Vengeance ,3.8
Gulliver's Travels ,4.9
Jonah Hex ,4.7
Lottery Ticket ,4.9
Marmaduke ,4.2
My Soul to Take ,4.8
My Soul to Take ,4.8
N-Secure ,3.5
Our Family Wedding ,4.9
Sex and the City 2 ,4.3
Skyline ,4.4
Standing Ovation ,3.4
Super Hybrid ,3.9
The 41-Year-Old Virgin Who Knocked Up Sarah Marshall and Felt Superbad About It ,2.7
The Dead Undead ,3.0
The Last Airbender ,4.2
The Last Godfather ,3.6
The Nutcracker in 3D ,4.4
The Twilight Saga: Eclipse ,4.9
The Virginity Hit ,4.6
Vampires Suck ,3.5
Why Did I Get Married Too? ,4.4
Yogi Bear ,4.6
All Superheroes Must Die ,4.0
Alvin and the Chipmunks: Chipwrecked ,4.4
Below Zero ,4.5
"Big Mommas: Like Father, Like Son ",4.4
Bucky Larson: Born to Be a Star ,3.3
Ghost Rider: Spirit of Vengeance ,4.3
Go for It! ,3.9
Hoodwinked Too! Hood vs. Evil ,4.8
I Don't Know How She Does It ,4.9
In the Land of Blood and Honey ,4.3
Jack and Jill ,3.4
Justin Bieber: Never Say Never ,1.6
Legend of Kung Fu Rabbit ,3.2
Raymond Did It ,3.2
Shark Night 3D ,4.0
Spy Kids: All the Time in the World in 4D ,3.6
The Darkest Hour ,4.9
The Legend of Hell's Gate: An American Conspiracy ,4.4
The Lion of Judah ,3.7
The Ridges ,3.0
The Roommate ,4.8
Twixt ,4.8
Without Men ,3.2
You Got Served: Beat the World ,4.5
Alien Uprising ,3.1
Black Rock ,4.7
Crowsnest ,3.8
Detention of the Dead ,4.6
Foodfight! ,1.7
Girls Gone Dead ,3.5
Hayride ,3.4
Khiladi 786 ,4.3
LOL ,4.3
Madea's Witness Protection ,4.8
No Vacancy ,4.2
Outside Bet ,4.8
Paranormal Activity 4 ,4.6
"Run, Hide, Die ",3.7
Snow White: A Deadly Summer ,2.2
Supercapitalist ,3.9
The Apparition ,4.1
The Cold Light of Day ,4.9
The Devil Inside ,4.2
The Frozen ,4.4
30 Nights of Paranormal Activity with the Devil Inside the Girl with the Dragon Tattoo ,2.6
A Madea Christmas ,4.7
After Earth ,4.9
Against the Wild ,4.7
Black Nativity ,4.4
Dry Spell ,3.3
Echo Dr. ,3.6
Getaway ,4.4
Hansel & Gretel Get Baked ,4.3
Independence Daysaster ,3.4
Movie 43 ,4.3
Nurse 3D ,4.6
One Direction: This Is Us ,4.1
Roadside ,4.1
Scary Movie 5 ,3.5
Sharknado ,3.3
Texas Chainsaw 3D ,4.8
The Canyons ,3.9
The Last Exorcism Part II ,4.0
The Lost Medallion: The Adventures of Billy Stone ,4.8
The Maid's Room ,4.5
The Vatican Exorcisms ,2.6
Treachery ,3.9
Zombie Hunter ,3.5
A Haunted House 2 ,4.7
